icd_id	icd_name	another_sctid	another_sct_term_cn	another_sct_term	relationship_type	icd_where
H25.0	老年性初期白内障	678581000119109	左眼前囊膜下极性老年性白内障	Anterior subcapsular polar senile cataract of left eye	Is a (attribute)	destination
H35.5	遗传性视网膜变性	341151000119108	左眼白内障手术性黄斑囊样水肿	Cystoid macular edema of left eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
K05.3	慢性牙周炎	787446001	局限性牙周炎	Localized periodontitis	Is a (attribute)	source
K05.2	急性牙周炎	787447005	全身性牙周炎	Generalized periodontitis	Is a (attribute)	source
M79.6	肢痛	1076721000119108	右手关节痛(发现)	Joint pain in right hand (finding)	Is a (attribute)	destination
K05.2	急性牙周炎	787447005	全身性牙周炎	Generalized periodontitis	Is a (attribute)	source
H01.1	眼睑的非感染性皮肤病	342541000119107	右眼睑湿疹性皮炎	Eczematous dermatitis of right eyelid	Is a (attribute)	source
H01.1	眼睑的非感染性皮肤病	342571000119100	左眼睑湿疹性皮炎	Eczematous dermatitis of left eyelid	Is a (attribute)	source
K05.2	急性牙周炎	787447005	全身性牙周炎	Generalized periodontitis	Is a (attribute)	source
H26.0	婴儿、幼年和老年前期白内障	678511000119103	老年前期右眼白内障	Presenile cataract of right eye (disorder)	Is a (attribute)	destination
H59.9	眼和附器未特指的操作后疾患	341151000119108	左眼白内障手术性黄斑囊样水肿	Cystoid macular edema of left eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
H26.0	婴儿、幼年和老年前期白内障	678501000119101	左眼老年前期白内障	Presenile cataract of left eye	Is a (attribute)	source
Q12.0	先天性白内障	346701000119104	双眼先天性核性白内障	Congenital nuclear cataract of bilateral eyes	Is a (attribute)	destination
Q12.0	先天性白内障	346701000119104	双眼先天性核性白内障	Congenital nuclear cataract of bilateral eyes	Is a (attribute)	destination
K05.3	慢性牙周炎	787447005	全身性牙周炎	Generalized periodontitis	Is a (attribute)	source
Z89.4	足和踝后天性缺失	16207721000119108	左脚脚趾部分截肢史(情况)	History of amputation of part of toe of left foot (situation)	Is a (attribute)	destination
H25.2	老年性白内障,莫尔加尼型	347461000119107	右眼过熟性老年性白内障	Hypermature senile cataract of right eye (disorder)	Is a (attribute)	destination
T81.9	操作的未特指并发症	341151000119108	左眼白内障手术性黄斑囊样水肿	Cystoid macular edema of left eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
H35.8	视网膜其他特指的疾患	362977000	残余	Residual	Is a (attribute)	source
T81.9	操作的未特指并发症	341151000119108	左眼白内障手术性黄斑囊样水肿	Cystoid macular edema of left eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
H26.0	婴儿、幼年和老年前期白内障	678511000119103	老年前期右眼白内障	Presenile cataract of right eye (disorder)	Is a (attribute)	source
Q12.0	先天性白内障	341441000119102	左先天性后囊下极性白内障	Left congenital posterior subcapsular polar cataract	Is a (attribute)	source
Q12.0	先天性白内障	346691000119104	先天性双眼后囊膜下极性白内障	Congenital posterior subcapsular polar cataract of bilateral eyes (disorder)	Is a (attribute)	destination
Q12.0	先天性白内障	335831000119107	右侧先天性后囊下极性白内障	Right congenital posterior subcapsular polar cataract	Is a (attribute)	source
E14.2		309426007	糖尿病性肾小球疾病	Glomerulopathy due to diabetes mellitus (disorder)	Is a (attribute)	source
H02.9	眼睑未特指的疾患	15705601000119107	右上睑结膜结石	Concretion in conjunctiva of right upper eyelid	Is a (attribute)	destination
H11.1	结膜变性和沉着物	15705601000119107	右上睑结膜结石	Concretion in conjunctiva of right upper eyelid	Is a (attribute)	destination
E14.2		309426007	糖尿病性肾小球疾病	Glomerulopathy due to diabetes mellitus (disorder)	Is a (attribute)	source
C50.9	未特指的乳房恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	destination
M66.0	腘囊肿破裂	322231000119104	右膝关节滑膜囊肿(病变)	Synovial cyst of right knee (disorder)	Is a (attribute)	source
C50.5	乳房下外象限恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	source
E14.6		238982009	糖尿病引起的皮肤病	Dermopathy due to diabetes mellitus (disorder)	Is a (attribute)	destination
H02.8	眼睑其他特指的疾患	342511000119108	左眼睑水肿	Edema of left eyelid	Is a (attribute)	destination
L81.9	色素沉着未特指的疾患	238982009	糖尿病引起的皮肤病	Dermopathy due to diabetes mellitus (disorder)	Is a (attribute)	destination
C50.9	未特指的乳房恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	source
N05.9	"未特指的肾炎综合征,未特指	"	309426007	糖尿病性肾小球疾病	Glomerulopathy due to diabetes mellitus (disorder)	Is a (attribute)	destination
E14.8		309426007	糖尿病性肾小球疾病	Glomerulopathy due to diabetes mellitus (disorder)	Is a (attribute)	destination
R60.0	局限性水肿	348101000119102	右眼眶周水肿(紊乱)	Periorbital edema of right eye (disorder)	Is a (attribute)	destination
C50.9	未特指的乳房恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	source
E14.8		422126006	糖尿病致高渗性昏迷	Hyperosmolar coma due to diabetes mellitus	Is a (attribute)	destination
R40.2	未特指的昏迷	422126006	糖尿病致高渗性昏迷	Hyperosmolar coma due to diabetes mellitus	Is a (attribute)	destination
Q85.9	未特指的斑痣性错构瘤病	787472005	先天性横纹肌瘤样间叶性错构瘤	Congenital rhabdomyomatous mesenchymal hamartoma	Is a (attribute)	destination
E14.2		236500003	糖尿病蛋白尿肾病	Proteinuric nephropathy due to diabetes mellitus (disorder)	Is a (attribute)	source
H02.8	眼睑其他特指的疾患	342511000119108	左眼睑水肿	Edema of left eyelid	Is a (attribute)	source
H02.8	眼睑其他特指的疾患	342481000119101	右眼睑水肿	Edema of right eyelid (disorder)	Is a (attribute)	source
C50.3	乳房下内象限恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	source
H26.8	其他特指的白内障	346691000119104	先天性双眼后囊膜下极性白内障	Congenital posterior subcapsular polar cataract of bilateral eyes (disorder)	Is a (attribute)	destination
Z86.0	其他肿瘤个人史	15647781000119101	十二指肠绒毛状腺瘤病史	History of villous adenoma of duodenum	Is a (attribute)	destination
H35.8	视网膜其他特指的疾患	335541000119100	白内障手术所致右眼黄斑囊样水肿	Cystoid macular edema of right eye due to and following cataract surgery (disorder)	Is a (attribute)	source
H35.8	视网膜其他特指的疾患	341151000119108	左眼白内障手术性黄斑囊样水肿	Cystoid macular edema of left eye due to and following cataract surgery (disorder)	Is a (attribute)	source
H35.5	遗传性视网膜变性	346411000119106	白内障手术所致及其后双眼黄斑囊样水肿	Cystoid macular oedema of both eyes due to and following cataract surgery	Is a (attribute)	destination
T81.9	操作的未特指并发症	335541000119100	白内障手术所致右眼黄斑囊样水肿	Cystoid macular edema of right eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
H35.8	视网膜其他特指的疾患	362977000	残余	Residual	Is a (attribute)	source
H35.5	遗传性视网膜变性	335541000119100	白内障手术所致右眼黄斑囊样水肿	Cystoid macular edema of right eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
T81.9	操作的未特指并发症	335541000119100	白内障手术所致右眼黄斑囊样水肿	Cystoid macular edema of right eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
H59.9	眼和附器未特指的操作后疾患	335541000119100	白内障手术所致右眼黄斑囊样水肿	Cystoid macular edema of right eye due to and following cataract surgery (disorder)	Is a (attribute)	destination
H25.8	其他的老年性白内障	347541000119109	左眼老年性复合型白内障	Senile combined form cataract of left eye	Is a (attribute)	destination
H26.8	其他特指的白内障	335831000119107	右侧先天性后囊下极性白内障	Right congenital posterior subcapsular polar cataract	Is a (attribute)	destination
Q12.0	先天性白内障	335831000119107	右侧先天性后囊下极性白内障	Right congenital posterior subcapsular polar cataract	Is a (attribute)	destination
Q12.0	先天性白内障	335831000119107	右侧先天性后囊下极性白内障	Right congenital posterior subcapsular polar cataract	Is a (attribute)	destination
H25.8	其他的老年性白内障	347481000119103	右眼老年性复合型白内障	Senile combined form cataract of right eye	Is a (attribute)	source
H25.8	其他的老年性白内障	347541000119109	左眼老年性复合型白内障	Senile combined form cataract of left eye	Is a (attribute)	source
H26.9	未特指的白内障	347601000119108	双眼老年性复合型白内障	Senile combined form cataract of both eyes	Is a (attribute)	destination
C50.1	乳房中央部恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	source
C50.9	未特指的乳房恶性肿瘤	353511000119101	女性右乳的癌症	Primary malignant neoplasm of female right breast	Is a (attribute)	source
H02.8	眼睑其他特指的疾患	342481000119101	右眼睑水肿	Edema of right eyelid (disorder)	Is a (attribute)	destination
Q28.3	大脑血管的其他畸形	783630000	先天性大脑前动脉动脉瘤(病变)	Congenital aneurysm of precerebral artery (disorder)	Is a (attribute)	destination
D17.5	腹腔内器官良性脂肪瘤样肿瘤	16705361000119104	左肾肿瘤	Neoplasm of left kidney (disorder)	Is a (attribute)	source
I87.1	静脉受压	786049007	左眼视网膜静脉分支阻塞	Occlusion of branch of retinal vein of left eye	Is a (attribute)	destination
R22.2	躯干的局部肿胀、肿物和肿块	687571000119101	躯干色素性毛状表皮痣	Pigmented hairy epidermal nevus of trunk	Is a (attribute)	destination
L98.9	皮肤和皮下组织未特指的疾患	687571000119101	躯干色素性毛状表皮痣	Pigmented hairy epidermal nevus of trunk	Is a (attribute)	destination
D22.5	躯干黑素细胞痣	687571000119101	躯干色素性毛状表皮痣	Pigmented hairy epidermal nevus of trunk	Is a (attribute)	destination
R22.4	下肢的局部肿胀、肿物和肿块	323691000119105	右膝关节色素沉着绒毛结节性滑膜炎	Pigmented villonodular synovitis of joint of right knee	Is a (attribute)	destination
S33.1	腰椎脱位	322141000119100	腰椎半脱位复合体(障碍)	Subluxation complex of lumbar vertebra (disorder)	Is a (attribute)	destination
M99.1	不全脱位复征(椎骨的)	322141000119100	腰椎半脱位复合体(障碍)	Subluxation complex of lumbar vertebra (disorder)	Is a (attribute)	destination
R22.3	上肢的局部肿胀、肿物和肿块	319861000119106	左肘类风湿结节皮下组织	Rheumatoid nodule of subcutaneous tissue of left elbow	Is a (attribute)	destination
Z27.1	为抗白喉-破伤风-百日咳联合采取必要的免疫[DTP]	170430006	给予第三流感嗜血桿菌 b 型和白喉、破伤风和百日咳疫苗(情况)	Third Haemophilus influenzae type B and diphtheria, tetanus and pertussis vaccine given (situation)	Is a (attribute)	destination
H02.8	眼睑其他特指的疾患	679521000119101	右眼睑血管病变(见)	Vascular lesion of right eyelid (finding)	Is a (attribute)	source
Z27.1	为抗白喉-破伤风-百日咳联合采取必要的免疫[DTP]	151051000119103	接种白喉及破伤风疫苗	Diphtheria and tetanus vaccination given	Is a (attribute)	source
D61.1	药物性再生障碍性贫血	16623961000119100	免疫抑制剂引起的全血细胞减少	Pancytopenia caused by immunosuppressant	Is a (attribute)	destination
H40.1	原发性开角型青光眼	338481000119100	左眼假性剥脱性青光眼	Pseudoexfoliation glaucoma of left eye (disorder)	Is a (attribute)	destination
H40.1	原发性开角型青光眼	787051000	左眼开角型青光眼	Open-angle glaucoma of left eye	Is a (attribute)	source
M95.1	菜花状耳	303581000119100	右菜花耳	Right cauliflower ear	Is a (attribute)	destination
H61.1	耳廓非感染性疾患	303581000119100	右菜花耳	Right cauliflower ear	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	15927261000119101	双眼睑损害(发现)	Lesion of bilateral eyelids (finding)	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	15927261000119101	双眼睑损害(发现)	Lesion of bilateral eyelids (finding)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16845421000119109	脑内的动脉瘤的历史	History of cerebral aneurysm	Is a (attribute)	destination
H11.1	结膜变性和沉着物	15926981000119103	上眼睑双侧病变	Bilateral lesion of upper eyelids	Is a (attribute)	source
Z86.7	循环系统疾病个人史	16845421000119109	脑内的动脉瘤的历史	History of cerebral aneurysm	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	679541000119107	右上眼睑血管病变(见)	Vascular lesion of right upper eyelid (finding)	Is a (attribute)	destination
O00.1	"输卵管妊娠	"	16836431000119100	右输卵管妊娠破裂	Ruptured tubal pregnancy of right fallopian tube	Is a (attribute)	destination
K56.6	其他和未特指的肠梗阻	16834011000119109	肠部分梗阻	Partial obstruction of intestine	Is a (attribute)	destination
L03.0	指和趾的蜂窝织炎	10631631000119108	左脚趾甲	Onychia of left toe	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	15927261000119101	双眼睑损害(发现)	Lesion of bilateral eyelids (finding)	Is a (attribute)	source
H02.9	眼睑未特指的疾患	15926981000119103	上眼睑双侧病变	Bilateral lesion of upper eyelids	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	15926981000119103	上眼睑双侧病变	Bilateral lesion of upper eyelids	Is a (attribute)	destination
H02.6	睑黄斑瘤	15927261000119101	双眼睑损害(发现)	Lesion of bilateral eyelids (finding)	Is a (attribute)	source
H02.8	眼睑其他特指的疾患	679521000119101	右眼睑血管病变(见)	Vascular lesion of right eyelid (finding)	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	679521000119101	右眼睑血管病变(见)	Vascular lesion of right eyelid (finding)	Is a (attribute)	destination
O00.1	"输卵管妊娠	"	16836891000119104	右输卵管妊娠	Pregnancy of right fallopian tube	Is a (attribute)	source
K56.6	其他和未特指的肠梗阻	16833871000119109	结肠部分梗阻	Partial obstruction of colon	Is a (attribute)	destination
T88.9	手术和医疗未特指的并发症	129571000119102	过敏性皮肤试验引起的过敏反应	Allergic reaction due to allergy skin test	Is a (attribute)	destination
T78.4	未特指的变态反应	129571000119102	过敏性皮肤试验引起的过敏反应	Allergic reaction due to allergy skin test	Is a (attribute)	destination
T88.8	手术和医疗其他特指的并发症,不可归类在他处者	129571000119102	过敏性皮肤试验引起的过敏反应	Allergic reaction due to allergy skin test	Is a (attribute)	destination
H40.4	继发于眼部炎症的青光眼	331471000119105	右眼紫膜性青光眼(障碍)	Uveitic glaucoma of right eye (disorder)	Is a (attribute)	destination
R22.3	上肢的局部肿胀、肿物和肿块	1081471000119101	左上肢色素性毛状表皮痣	Pigmented hairy epidermal naevus of left upper extremity	Is a (attribute)	destination
D22.5	躯干黑素细胞痣	1081471000119101	左上肢色素性毛状表皮痣	Pigmented hairy epidermal naevus of left upper extremity	Is a (attribute)	destination
L98.9	皮肤和皮下组织未特指的疾患	1081471000119101	左上肢色素性毛状表皮痣	Pigmented hairy epidermal naevus of left upper extremity	Is a (attribute)	destination
D13.2	十二指肠良性肿瘤	15641141000119100	十二指肠绒毛状腺瘤	Villous adenoma of duodenum	Is a (attribute)	destination
K56.6	其他和未特指的肠梗阻	16834011000119109	肠部分梗阻	Partial obstruction of intestine	Is a (attribute)	source
N60.2	"乳房纤维囊性乳腺病	"	10734751000119102	右乳房硬化性腺病(病变)	Sclerosing adenosis of right breast (disorder)	Is a (attribute)	destination
Z87.8	其他特指情况个人史	16864911000119103	颅内出血的历史	History of intracranial hemorrhage	Is a (attribute)	destination
H40.6	药物性青光眼	678421000119106	药物(障碍)所致右眼青光眼	Glaucoma of right eye caused by drug (disorder)	Is a (attribute)	source
H47.5	其他视路疾患	787177005	视觉通路炎症性障碍(障碍)	Inflammatory disorder of visual pathway (disorder)	Is a (attribute)	source
Z87.1	消化系统疾病个人史	16912131000119107	酒精性肝炎的历史	History of alcoholic hepatitis	Is a (attribute)	destination
Q87.0	主要影响面部外貌的先天性畸形综合征	787171006	21q22.11 q22.12微缺失综合症	21q22.11q22.12 microdeletion syndrome	Is a (attribute)	destination
Q93.5	染色体其他部分缺失	782964007	遗传疾病	Genetic disease	Is a (attribute)	source
E34.3	身材矮小症,不可归类在他处者	787171006	21q22.11 q22.12微缺失综合症	21q22.11q22.12 microdeletion syndrome	Is a (attribute)	destination
Q93.5	染色体其他部分缺失	787171006	21q22.11 q22.12微缺失综合症	21q22.11q22.12 microdeletion syndrome	Is a (attribute)	destination
Q99.9	未特指的染色体异常	787172004	儿童发病常染色体隐性遗传性肌病伴眼外肌麻痹	Childhood-onset autosomal recessive myopathy with external ophthalmoplegia (disorder)	Is a (attribute)	destination
G96.9	中枢神经系统未特指的疾患	787172004	儿童发病常染色体隐性遗传性肌病伴眼外肌麻痹	Childhood-onset autosomal recessive myopathy with external ophthalmoplegia (disorder)	Is a (attribute)	destination
Z86.6	神经系统和感觉器官疾病个人史	16519911000119101	早产儿视网膜病史(情况)	History of retinopathy of prematurity (situation)	Is a (attribute)	destination
H49.8	其他麻痹性斜视	787172004	儿童发病常染色体隐性遗传性肌病伴眼外肌麻痹	Childhood-onset autosomal recessive myopathy with external ophthalmoplegia (disorder)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16896851000119101	栓塞性中风的病史(情况)	History of embolic cerebrovascular accident (situation)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16896851000119101	栓塞性中风的病史(情况)	History of embolic cerebrovascular accident (situation)	Is a (attribute)	destination
Z86.1	传染病和寄生虫病个人史	16540531000119103	眼带状疱疹病史	History of ocular zoster	Is a (attribute)	destination
Z87.8	其他特指情况个人史	16535651000119101	眼部损伤史(情况)	History of injury of eye region (situation)	Is a (attribute)	destination
Z86.6	神经系统和感觉器官疾病个人史	16535401000119102	老年黄斑变性的历史	History of macular degeneration	Is a (attribute)	destination
Q99.9	未特指的染色体异常	787175002	与 Ankyrin 3有关的智能障碍，睡眠障碍综合症(失调)	Ankyrin 3 related intellectual disability, sleep disturbance syndrome (disorder)	Is a (attribute)	destination
G47.9	未特指的睡眠障碍	787175002	与 Ankyrin 3有关的智能障碍，睡眠障碍综合症(失调)	Ankyrin 3 related intellectual disability, sleep disturbance syndrome (disorder)	Is a (attribute)	destination
M67.9	滑膜和肌腱疾患	321371000119100	左手伸肌腱自发性断裂	Spontaneous rupture of extensor tendon of left hand	Is a (attribute)	destination
G70.9	未特指的肌神经疾患	787172004	儿童发病常染色体隐性遗传性肌病伴眼外肌麻痹	Childhood-onset autosomal recessive myopathy with external ophthalmoplegia (disorder)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16864911000119103	颅内出血的历史	History of intracranial hemorrhage	Is a (attribute)	source
Z87.8	其他特指情况个人史	16775181000119103	昏迷史(情况)	History of coma (situation)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16845421000119109	脑内的动脉瘤的历史	History of cerebral aneurysm	Is a (attribute)	source
H40.6	药物性青光眼	678411000119104	药物性左眼青光眼	Glaucoma of left eye caused by drug	Is a (attribute)	source
Z86.7	循环系统疾病个人史	16833281000119106	动脉血栓形成病史	History of arterial thrombosis	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16896851000119101	栓塞性中风的病史(情况)	History of embolic cerebrovascular accident (situation)	Is a (attribute)	source
H47.4	视交叉疾患	787177005	视觉通路炎症性障碍(障碍)	Inflammatory disorder of visual pathway (disorder)	Is a (attribute)	source
Z87.0	呼吸系统疾病个人史	16775141000119108	唿吸衰竭的历史	History of acute respiratory failure	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16896891000119106	缺血性中风病史	History of cerebrovascular accident due to ischemia (situation)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16864911000119103	颅内出血的历史	History of intracranial hemorrhage	Is a (attribute)	source
Z87.8	其他特指情况个人史	16535651000119101	眼部损伤史(情况)	History of injury of eye region (situation)	Is a (attribute)	source
Z87.1	消化系统疾病个人史	16915451000119104	食管狭窄病史	History of stricture of oesophagus	Is a (attribute)	destination
Z87.1	消化系统疾病个人史	16089211000119108	胃空肠溃疡病史(情况)	History of gastrojejunal ulcer (situation)	Is a (attribute)	destination
Z86.7	循环系统疾病个人史	16864911000119103	颅内出血的历史	History of intracranial hemorrhage	Is a (attribute)	source
H04.4	泪道慢性炎症	787179008	泪道引流结构的慢性炎症(紊乱)	Chronic inflammation of lacrimal drainage structure (disorder)	Is a (attribute)	source
Z87.8	其他特指情况个人史	16829501000119100	坏疽性疾病史	History of gangrenous disorder	Is a (attribute)	destination
N60.2	"乳房纤维囊性乳腺病	"	10735231000119101	左乳硬化性腺病(病变)	Sclerosing adenosis of left breast (disorder)	Is a (attribute)	destination
H47.2	视神经萎缩	348131000119109	右眼部分性视神经萎缩(障碍)	Partial optic atrophy of right eye (disorder)	Is a (attribute)	destination
H47.2	视神经萎缩	348131000119109	右眼部分性视神经萎缩(障碍)	Partial optic atrophy of right eye (disorder)	Is a (attribute)	destination
M67.9	滑膜和肌腱疾患	321521000119105	左手屈肌腱自发性断裂(紊乱)	Spontaneous rupture of flexor tendon of left hand (disorder)	Is a (attribute)	destination
S66.9	在腕和手水平的未特指肌肉和肌腱的损伤	321521000119105	左手屈肌腱自发性断裂(紊乱)	Spontaneous rupture of flexor tendon of left hand (disorder)	Is a (attribute)	destination
S66.6	在腕和手水平的多处屈肌和肌腱损伤	321521000119105	左手屈肌腱自发性断裂(紊乱)	Spontaneous rupture of flexor tendon of left hand (disorder)	Is a (attribute)	destination
H18.4	角膜变性	679121000119108	左眼角膜瓣(病变)	Dellen of cornea of left eye (disorder)	Is a (attribute)	destination
S66.9	在腕和手水平的未特指肌肉和肌腱的损伤	321371000119100	左手伸肌腱自发性断裂	Spontaneous rupture of extensor tendon of left hand	Is a (attribute)	destination
Z25.1	为抗流感采取必要的免疫	135231000119103	接种鼻内流感疫苗(情况)	Intranasal influenza vaccination given (situation)	Is a (attribute)	destination
H40.1	原发性开角型青光眼	332871000119103	右剥脱性青光眼	Right pseudoexfoliation glaucoma	Is a (attribute)	destination
Q99.9	未特指的染色体异常	787093004	发育迟缓，面部畸形综合征由于中介复合体13样缺乏(障碍)	Developmental delay, facial dysmorphism syndrome due to mediator complex subunit 13 like deficiency (disorder)	Is a (attribute)	destination
Q87.0	主要影响面部外貌的先天性畸形综合征	787093004	发育迟缓，面部畸形综合征由于中介复合体13样缺乏(障碍)	Developmental delay, facial dysmorphism syndrome due to mediator complex subunit 13 like deficiency (disorder)	Is a (attribute)	destination
S00.9	头部部位未特指的浅表损伤	262636002	上颚挫伤	Bruise of palate	Is a (attribute)	destination
D37.0	唇、口腔和咽动态未定或动态未知的肿瘤	126797001	口腔肿瘤	Tumor of mouth	Is a (attribute)	source
Q30.9	鼻未特指的先天性畸形	95433000	鼻中隔紊乱	Disorder of nasal septum (disorder)	Is a (attribute)	source
H26.2	并发性白内障	362977000	残余	Residual	Is a (attribute)	source
T11.0	上肢浅表损伤,水平未特指	211501009	锁骨挫伤(紊乱)	Contusion of clavicular area (disorder)	Is a (attribute)	destination
S00.3	鼻浅表损伤	95433000	鼻中隔紊乱	Disorder of nasal septum (disorder)	Is a (attribute)	source
Q87.3	涉及早期过度生长的先天性畸形综合征	782964007	遗传疾病	Genetic disease	Is a (attribute)	source
H26.9	未特指的白内障	193602009	炎症性白内障	Cataract due to inflammatory disorder (disorder)	Is a (attribute)	destination
D47.9	淋巴、造血和有关组织未特指的动态未定或动态未知的肿瘤	787125004	人类疱疹病毒8型引起的促生发性淋巴组织增生性疾病	Germinotropic lymphoproliferative disorder caused by Human herpesvirus 8	Is a (attribute)	destination
N94.9	"未特指的与女性生殖器官和月经周期有关的情况	"	77233005	女性生殖器挫伤(紊乱)	Contusion of female genital organ (disorder)	Is a (attribute)	destination
T09.0	躯干浅表损伤,水平未特指	211495007	生殖器挫伤(紊乱)	Contusion of genital organ (disorder)	Is a (attribute)	destination
O00.2	"卵巢妊娠	"	16836351000119100	右卵巢妊娠	Pregnancy of right ovary	Is a (attribute)	destination
R22.3	上肢的局部肿胀、肿物和肿块	319951000119101	右手类风湿结节	Rheumatoid nodule of right hand	Is a (attribute)	destination
M79.9	软组织疾患	319951000119101	右手类风湿结节	Rheumatoid nodule of right hand	Is a (attribute)	destination
N64.5	"乳房的其他体征和症状	"	15953221000119100	左乳头收缩	Retraction of left nipple	Is a (attribute)	destination
K56.6	其他和未特指的肠梗阻	16834011000119109	肠部分梗阻	Partial obstruction of intestine	Is a (attribute)	source
B00.8	其他形式的疱疹病毒感染	787125004	人类疱疹病毒8型引起的促生发性淋巴组织增生性疾病	Germinotropic lymphoproliferative disorder caused by Human herpesvirus 8	Is a (attribute)	destination
H40.4	继发于眼部炎症的青光眼	337081000119109	左葡萄膜性青光眼	Left uveitic glaucoma	Is a (attribute)	source
Q87.3	涉及早期过度生长的先天性畸形综合征	787094005	节段性进行性过度生长综合征合并脂肪纤维增生	Segmental progressive overgrowth syndrome with fibroadipose hyperplasia	Is a (attribute)	destination
C22.7	其他特指的肝恶性肿瘤	787091002	肝、肝内胆管腺癌(病变)	Adenocarcinoma of liver and intrahepatic biliary tract (disorder)	Is a (attribute)	destination
H40.1	原发性开角型青光眼	787052007	右眼开角型青光眼	Open-angle glaucoma of right eye (disorder)	Is a (attribute)	destination
H40.6	药物性青光眼	787052007	右眼开角型青光眼	Open-angle glaucoma of right eye (disorder)	Is a (attribute)	source
H40.1	原发性开角型青光眼	787056005	右眼视杯	Optic cupping of right eye	Is a (attribute)	source
H40.5	继发于其他眼部疾患的青光眼	15739881000119108	右眼视盘拔罐术治疗开角型青光眼	Open-angle glaucoma with optic disc cupping of right eye	Is a (attribute)	destination
H40.1	原发性开角型青光眼	787052007	右眼开角型青光眼	Open-angle glaucoma of right eye (disorder)	Is a (attribute)	source
H47.3	视神经盘的其他疾患	15739881000119108	右眼视盘拔罐术治疗开角型青光眼	Open-angle glaucoma with optic disc cupping of right eye	Is a (attribute)	destination
H47.3	视神经盘的其他疾患	787055009	左眼视杯(发现)	Optic cupping of left eye (finding)	Is a (attribute)	destination
N83.5	"卵巢、卵巢蒂和输卵管的扭转	"	15932501000119104	右输卵管扭转	Torsion of right fallopian tube	Is a (attribute)	destination
M35.9	结缔组织系统性受累	787094005	节段性进行性过度生长综合征合并脂肪纤维增生	Segmental progressive overgrowth syndrome with fibroadipose hyperplasia	Is a (attribute)	destination
H18.4	角膜变性	347151000119102	双侧老年弓	Bilateral arcus senilis	Is a (attribute)	destination
M34.1	全身性钙质沉着综合征[CR(E)ST]	238980001	影响皮肤的全身性疾病	Systemic disease affecting skin (disorder)	Is a (attribute)	source
E85.8	其他淀粉样变	238980001	影响皮肤的全身性疾病	Systemic disease affecting skin (disorder)	Is a (attribute)	source
M34.1	全身性钙质沉着综合征[CR(E)ST]	238980001	影响皮肤的全身性疾病	Systemic disease affecting skin (disorder)	Is a (attribute)	source
E85.8	其他淀粉样变	56019007	全身性疾病	Systemic disease (disorder)	Is a (attribute)	source
E85.8	其他淀粉样变	783160006	遗传性明胶蛋白型淀粉样变性	Hereditary gelsolin amyloidosis	Is a (attribute)	destination
Q74.8	四肢的其他特指先天性畸形	385522000	关节屈曲挛缩(无序)	Flexion contracture of joint (disorder)	Is a (attribute)	source
Q68.8	肌肉骨骼的其他特指先天性变形	786039009	关节弯曲症和外胚层发育不良综合征	Arthrogryposis and ectodermal dysplasia syndrome	Is a (attribute)	destination
C22.1	肝内胆管癌	787091002	肝、肝内胆管腺癌(病变)	Adenocarcinoma of liver and intrahepatic biliary tract (disorder)	Is a (attribute)	destination
L98.9	皮肤和皮下组织未特指的疾患	56019007	全身性疾病	Systemic disease (disorder)	Is a (attribute)	source
H40.4	继发于眼部炎症的青光眼	331471000119105	右眼紫膜性青光眼(障碍)	Uveitic glaucoma of right eye (disorder)	Is a (attribute)	source
H02.8	眼睑其他特指的疾患	679491000119103	左眼睑血管病变	Vascular lesion of left eyelid	Is a (attribute)	destination
H02.9	眼睑未特指的疾患	679491000119103	左眼睑血管病变	Vascular lesion of left eyelid	Is a (attribute)	destination
